start experiment
RPS: 40000, tail_lat: {'0.500000': '0.504', '0.900000': '19.983', '0.990625': '44.671'}
RPS: 42000, tail_lat: {'0.500000': '15.415', '0.900000': '33.535', '0.990625': '128.319'}
RPS: 44000, tail_lat: {'0.500000': '0.513', '0.900000': '0.737', '0.990625': '36.287'}
RPS: 46000, tail_lat: {'0.500000': '0.525', '0.900000': '5.207', '0.990625': '34.399'}
RPS: 48000, tail_lat: {'0.500000': '13.319', '0.900000': '25.567', '0.990625': '54.751'}
RPS: 50000, tail_lat: {'0.500000': '32.799', '0.900000': '48.831', '0.990625': '75.903'}
RPS: 52000, tail_lat: {'0.500000': '135.551', '0.900000': '157.567', '0.990625': '180.351'}
RPS: 54000, tail_lat: {'0.500000': '71.295', '0.900000': '90.047', '0.990625': '108.415'}
RPS: 55000, tail_lat: {'0.500000': '147.199', '0.900000': '169.855', '0.990625': '196.095'}
RPS: 55500, tail_lat: {'0.500000': '84.031', '0.900000': '105.535', '0.990625': '123.711'}
RPS: 56000, tail_lat: {'0.500000': '150.655', '0.900000': '173.055', '0.990625': '193.023'}
RPS: 56500, tail_lat: {'0.500000': '100.799', '0.900000': '124.479', '0.990625': '148.607'}
RPS: 57000, tail_lat: {'0.500000': '99.839', '0.900000': '120.447', '0.990625': '150.911'}
RPS: 57500, tail_lat: {'0.500000': '103.871', '0.900000': '125.951', '0.990625': '149.759'}
RPS: 58000, tail_lat: {'0.500000': '104.511', '0.900000': '125.183', '0.990625': '149.887'}
RPS: 58500, tail_lat: {'0.500000': '132.223', '0.900000': '151.935', '0.990625': '174.975'}
RPS: 59000, tail_lat: {'0.500000': '140.415', '0.900000': '162.047', '0.990625': '184.063'}
RPS: 59500, tail_lat: {'0.500000': '133.503', '0.900000': '158.847', '0.990625': '177.151'}
RPS: 60000, tail_lat: {'0.500000': '168.575', '0.900000': '207.999', '0.990625': '250.239'}
RPS: 60500, tail_lat: {'0.500000': '214.911', '0.900000': '262.143', '0.990625': '300.799'}
RPS: 61000, tail_lat: {'0.500000': '306.431', '0.900000': '398.591', '0.990625': '456.191'}
RPS: 61500, tail_lat: {'0.500000': '429.311', '0.900000': '549.887', '0.990625': '621.055'}
RPS: 62000, tail_lat: {'0.500000': '476.927', '0.900000': '646.655', '0.990625': '742.911'}
RPS: 62500, tail_lat: {'0.500000': '688.127', '0.900000': '905.727', '0.990625': '1004.031'}
end experiment
