start experiment
RPS: 40000, tail_lat: {'0.500000': '0.495', '0.900000': '10.527', '0.990625': '40.031'}
RPS: 42000, tail_lat: {'0.500000': '0.472', '0.900000': '0.529', '0.990625': '0.673'}
RPS: 44000, tail_lat: {'0.500000': '9.735', '0.900000': '19.823', '0.990625': '45.151'}
RPS: 46000, tail_lat: {'0.500000': '47.935', '0.900000': '64.319', '0.990625': '86.847'}
RPS: 48000, tail_lat: {'0.500000': '58.463', '0.900000': '75.263', '0.990625': '104.063'}
RPS: 50000, tail_lat: {'0.500000': '20.479', '0.900000': '32.095', '0.990625': '75.839'}
RPS: 52000, tail_lat: {'0.500000': '66.175', '0.900000': '81.023', '0.990625': '103.743'}
RPS: 54000, tail_lat: {'0.500000': '78.719', '0.900000': '96.511', '0.990625': '125.887'}
RPS: 55000, tail_lat: {'0.500000': '51.839', '0.900000': '69.183', '0.990625': '80.959'}
RPS: 55500, tail_lat: {'0.500000': '58.271', '0.900000': '72.319', '0.990625': '82.815'}
RPS: 56000, tail_lat: {'0.500000': '103.935', '0.900000': '118.271', '0.990625': '129.343'}
RPS: 56500, tail_lat: {'0.500000': '64.511', '0.900000': '81.855', '0.990625': '99.135'}
RPS: 57000, tail_lat: {'0.500000': '71.743', '0.900000': '91.967', '0.990625': '109.631'}
RPS: 57500, tail_lat: {'0.500000': '70.847', '0.900000': '90.943', '0.990625': '111.359'}
RPS: 58000, tail_lat: {'0.500000': '69.439', '0.900000': '88.703', '0.990625': '106.943'}
RPS: 58500, tail_lat: {'0.500000': '82.943', '0.900000': '102.399', '0.990625': '117.375'}
RPS: 59000, tail_lat: {'0.500000': '84.479', '0.900000': '99.839', '0.990625': '122.239'}
RPS: 59500, tail_lat: {'0.500000': '148.735', '0.900000': '168.191', '0.990625': '181.759'}
RPS: 60000, tail_lat: {'0.500000': '131.967', '0.900000': '148.223', '0.990625': '170.367'}
RPS: 60500, tail_lat: {'0.500000': '119.487', '0.900000': '136.191', '0.990625': '152.575'}
RPS: 61000, tail_lat: {'0.500000': '96.831', '0.900000': '113.215', '0.990625': '141.567'}
RPS: 61500, tail_lat: {'0.500000': '118.591', '0.900000': '140.927', '0.990625': '154.751'}
RPS: 62000, tail_lat: {'0.500000': '126.719', '0.900000': '148.735', '0.990625': '168.831'}
RPS: 62500, tail_lat: {'0.500000': '164.735', '0.900000': '196.735', '0.990625': '219.903'}
RPS: 63000, tail_lat: {'0.500000': '256.511', '0.900000': '313.087', '0.990625': '351.487'}
RPS: 63500, tail_lat: {'0.500000': '327.167', '0.900000': '408.575', '0.990625': '461.823'}
RPS: 64000, tail_lat: {'0.500000': '497.663', '0.900000': '656.895', '0.990625': '734.207'}
RPS: 64500, tail_lat: {'0.500000': '585.215', '0.900000': '765.439', '0.990625': '848.383'}
RPS: 65000, tail_lat: {'0.500000': '700.927', '0.900000': '922.111', '0.990625': '1023.487'}
RPS: 65500, tail_lat: {'0.500000': '810.495', '0.900000': '1080.319', '0.990625': '1184.767'}
end experiment
