start experiment
RPS: 40000, tail_lat: {'0.500000': '25.535', '0.900000': '40.543', '0.990625': '55.839'}
RPS: 42000, tail_lat: {'0.500000': '43.391', '0.900000': '62.527', '0.990625': '76.735'}
RPS: 44000, tail_lat: {'0.500000': '74.239', '0.900000': '92.095', '0.990625': '118.079'}
RPS: 46000, tail_lat: {'0.500000': '23.999', '0.900000': '39.391', '0.990625': '57.535'}
RPS: 48000, tail_lat: {'0.500000': '42.335', '0.900000': '60.575', '0.990625': '91.519'}
RPS: 50000, tail_lat: {'0.500000': '61.247', '0.900000': '82.431', '0.990625': '107.839'}
RPS: 50500, tail_lat: {'0.500000': '67.263', '0.900000': '83.775', '0.990625': '102.719'}
RPS: 51000, tail_lat: {'0.500000': '133.887', '0.900000': '150.143', '0.990625': '173.311'}
RPS: 51500, tail_lat: {'0.500000': '124.671', '0.900000': '147.967', '0.990625': '170.879'}
RPS: 52000, tail_lat: {'0.500000': '78.015', '0.900000': '96.447', '0.990625': '111.487'}
RPS: 52500, tail_lat: {'0.500000': '137.983', '0.900000': '157.439', '0.990625': '175.103'}
RPS: 53000, tail_lat: {'0.500000': '136.191', '0.900000': '155.391', '0.990625': '177.919'}
RPS: 53500, tail_lat: {'0.500000': '94.207', '0.900000': '109.951', '0.990625': '123.263'}
RPS: 54000, tail_lat: {'0.500000': '108.479', '0.900000': '127.487', '0.990625': '149.119'}
RPS: 54500, tail_lat: {'0.500000': '108.031', '0.900000': '129.087', '0.990625': '146.815'}
RPS: 55000, tail_lat: {'0.500000': '94.655', '0.900000': '117.311', '0.990625': '135.807'}
RPS: 55500, tail_lat: {'0.500000': '166.015', '0.900000': '188.159', '0.990625': '216.959'}
RPS: 56000, tail_lat: {'0.500000': '123.647', '0.900000': '147.455', '0.990625': '164.607'}
RPS: 56500, tail_lat: {'0.500000': '116.223', '0.900000': '140.159', '0.990625': '159.999'}
RPS: 57000, tail_lat: {'0.500000': '138.367', '0.900000': '158.079', '0.990625': '180.479'}
RPS: 57500, tail_lat: {'0.500000': '172.031', '0.900000': '197.119', '0.990625': '221.055'}
RPS: 58000, tail_lat: {'0.500000': '236.415', '0.900000': '285.695', '0.990625': '318.975'}
RPS: 58500, tail_lat: {'0.500000': '376.831', '0.900000': '486.399', '0.990625': '552.447'}
RPS: 59000, tail_lat: {'0.500000': '524.799', '0.900000': '673.791', '0.990625': '756.735'}
RPS: 59500, tail_lat: {'0.500000': '452.095', '0.900000': '607.743', '0.990625': '689.663'}
end experiment
